[00:00:00][ZH] 那我講,那家長可能看了報告之後
[00:17:27][ZH] 然後被貶低
[00:17:28][ZH] 所以如果沒有早一點發現
[00:17:30][ZH] 他們這些慢慢的負面的經驗
[00:17:32][ZH] 會形述他後來的人格
[00:17:34][ZH] 所以我們早期發現的原因
[00:17:36][ZH] 是希望我們不要讓他開始出現
[00:17:38][ZH] 這些負面的
[00:17:39][ZH] 太多的負面經驗
[00:17:41][ZH] 然後讓他對自己很沒有自信
[00:17:42][ZH] 然後他就是開始會覺得
[00:17:44][ZH] 比較分屍技術
[00:17:46][ZH] 比較衝動
[00:17:47][ZH] 他就分屍技術
[00:17:48][ZH] 然後就覺得繁體質
[00:17:49][ZH] 什麼事都不要這樣子
[00:17:51][ZH] 那比較不衝動的
[00:17:53][ZH] 可能就會開始
[00:17:53][ZH] 就是會比較退縮
[00:17:56][ZH] 比較憂鬱
[00:17:56][ZH] 我剩一分鐘了
[00:17:58][ZH] 所以下次有機會再講
[00:18:01][ZH] 那治病症
[00:18:02][ZH] 剛剛那個
[00:18:03][ZH] 曾主任也講非常多了
[00:18:05][ZH] 那基本上大概就是
[00:18:06][ZH] 這個是診斷
[00:18:07][ZH] 然後這個辨識也越來越高
[00:18:10][ZH] 就是美國大概
[00:18:11][ZH] 現在好像三十二分之一
[00:18:12][ZH] 原因上面
[00:18:13][ZH] 雅思的辨識越來越多
[00:18:15][ZH] 那個Experger
[00:18:16][ZH] 比較高功能的
[00:18:17][ZH] 然後男生比女生是四分之
[00:18:20][ZH] 男生是四倍啊
[00:18:22][ZH] 女生的四倍這樣子
[00:18:23][ZH] 那最常被診斷的是加州
[00:18:25][ZH] 因為那邊有很多系谷
[00:18:27][ZH] 就是系谷嘛
[00:18:28][ZH] 系谷就有工程師很多嘛
[00:18:29][ZH] 工程師就會互相結婚
[00:18:30][ZH] 然後就會伸出
[00:18:31][ZH] 然後這個不是很好笑的事情
[00:18:36][ZH] 但是就是
[00:18:37][ZH] 就是說就是他就是基因
[00:18:39][ZH] loding很大的一個 condition這樣子
[00:18:42][ZH] 然後系谷的工程師也比較有錢嘛
[00:18:44][ZH] 他們可以帶小孩去做治療診斷這樣子
[00:18:47][ZH] 是這樣的關係
[00:18:49][ZH] 所以家族的診症率就很高這樣子
[00:18:51][ZH] 再來就是講它就還是
[00:18:54][ZH] GENETIC的因素佔很大
[00:18:56][ZH] 而且很多都是COMEON VARIANT
[00:18:58][ZH] 所以就是它潛藏在一般人的基因裡面
[00:19:00][ZH] 所以有時候爸媽就問我說
[00:19:02][ZH] 我跟我先生都沒有
[00:19:03][ZH] 為什麼我小孩用
[00:19:04][ZH] 它就是基因臭到了
[00:19:05][ZH] 有時候可能有自己的DINOMO
[00:19:07][ZH] 就是說新的突變
[00:19:09][ZH] 那個紅色是它自己的突變
[00:19:11][ZH] 所以有時候也沒有辦法去做什麼預防
[00:19:13][ZH] 或是什麼產天篩戒
[00:19:15][ZH] 那個都沒有辦法
[00:19:16][ZH] 而且它本身也有一些認知神經功能的一些困難
[00:19:20][ZH] 然後就是在某些processing
[00:19:23][ZH] 就是在這個是神經心理學家
[00:19:25][ZH] 他們自己定義出來的一些理論
[00:19:28][ZH] 他們就是心智理論有困難
[00:19:30][ZH] 他們在體系的處理上有困難
[00:19:32][ZH] 他們在感官知覺的處理上有困難
[00:19:34][ZH] 還有一些社交常識的一些概念
[00:19:37][ZH] 跟覺知也是會有一些困難這樣子
[00:19:40][ZH] 然後這是腦科學的證據
[00:19:42][ZH] 大家都自己看
[00:19:43][ZH] 如果就是想說看細節的話
[00:19:45][ZH] 他就把他丟到AI
[00:19:46][ZH] 然後AI就會跟你講這樣子
[00:19:48][ZH] 好
[00:19:48][ZH] 對那心智理論就是說
[00:19:50][ZH] 我們怎麼樣去感知別人的
[00:19:52][ZH] 就是知道別人的思路歷程
[00:19:54][ZH] 不是隻是表面上看出來的樣子
[00:19:57][ZH] 你會知道說他知道什麼
[00:19:59][ZH] 不知道什麼
[00:20:00][ZH] 我們ASD的小孩常常會理所當然認為
[00:20:02][ZH] 你應該知道他知道的事情
[00:20:04][ZH] 所以他講事情常常都講重點
[00:20:06][ZH] 然後他沒有再跟你講脈絡的
[00:20:08][ZH] 錢一或五都跟你講
[00:20:10][ZH] 那就是莫名其妙插一個東西給你
[00:20:11][ZH] 你就會想說
[00:20:12][ZH] 你其實說啥這樣子
[00:20:13][ZH] 那有耐性的
[00:20:15][ZH] 他就會開始知道他的困難
[00:20:16][ZH] 慢慢去引導他
[00:20:17][ZH] 人事實地悟
[00:20:18][ZH] 然後前面發生什麼事
[00:20:19][ZH] 然後你說這個
[00:20:20][ZH] 那後續你要幹嘛
[00:20:21][ZH] 那你就是要好好地跟他講
[00:20:24][ZH] 那ASD本身
[00:20:26][ZH] 他們就是有一些
[00:20:27][ZH] 就是他們在理解
[00:20:29][ZH] 學外之音的困難
[00:20:30][ZH] 所以有時候你跟他對話的時候
[00:20:31][ZH] 你會覺得牛頭不對馬嘴
[00:20:33][ZH] 因為你的重點是
[00:20:34][ZH] 他一直在執著在
[00:20:36][ZH] 你那個講話
[00:20:37][ZH] 一些字詞不夠精確
[00:20:39][ZH] 或是說他覺得
[00:20:40][ZH] 你這個講錯了
[00:20:42][ZH] 他就一直很糾結
[00:20:42][ZH] 你講錯了這件事情
[00:20:44][ZH] 不管說你大致上想要傳達的是
[00:20:46][ZH] 主要的概念是什麼
[00:20:47][ZH] 然後有時候就會吵起來
[00:20:49][ZH] 那這時候就要緩一緩
[00:20:51][ZH] 然後我們講錯的東西
[00:20:53][ZH] 我們就說就承認我們講錯了
[00:20:55][ZH] 對因為有時候真的不夠情趣
[00:20:58][ZH] 我們就是在只剩某個大的概念
[00:21:00][ZH] 但是它就是很善意跟精確的事情
[00:21:02][ZH] 那他們就是在情緒調節上面有一些困難
[00:21:07][ZH] 所以他們常常會有一些
[00:21:08][ZH] 就是很焦慮容易焦慮
[00:21:10][ZH] 或是容易暴怒的一些狀況
[00:21:12][ZH] 那本身就是
[00:21:14][ZH] 它就是一個光譜
[00:21:15][ZH] 所以說實話就是從很厲害的
[00:21:17][ZH] 然後社交的學習學得很好的
[00:21:20][ZH] 它偽裝的很好的那一種
[00:21:21][ZH] 那有些是到成人才會發現
[00:21:23][ZH] 就是他另外一半
[00:21:25][ZH] 或是他生出小孩
[00:21:26][ZH] 他才發現說自己可能是的
[00:21:28][ZH] 這個就是功能非常好
[00:21:29][ZH] 它偽裝的非常好
[00:21:30][ZH] 到非常功能低
[00:21:31][ZH] 就是不會講話
[00:21:32][ZH] 然後在地上一直玩
[00:21:33][ZH] 一些有的沒有的
[00:21:34][ZH] 敲敲打打
[00:21:36][ZH] 自我自己很多的那一種都有
[00:21:38][ZH] 都算是在ASD裡面這樣子
[00:21:41][ZH] 那這個東西就麻煩大家自己看哦
[00:21:44][ZH] 我就是寫中文都也寫的蠻詳細的
[00:21:47][ZH] 對
[00:21:48][ZH] 好
[00:21:49][ZH] 那他們
[00:21:51][ZH] 我覺得他們真的很tough啦
[00:21:52][ZH] 就是真的很辛苦這樣子
[00:21:54][ZH] 然後他們也要很努力
[00:21:55][ZH] 那就是要能夠預告啊接納
[00:22:01][ZH] 然後就要儘量結構化環境
[00:22:03][ZH] 然後環境的司機儘量弄得單純一點
[00:22:05][ZH] 然後他們有些routine
[00:22:07][ZH] 如果沒有無傷大人
[00:22:09][ZH] 不見得需要硬把它改掉這樣子
[00:22:11][ZH] 學長就不講了
[00:22:12][ZH] 基本上就是一個IQ正常
[00:22:14][ZH] 但是它在特定的學科有困難
[00:22:16][ZH] 有些是試字
[00:22:17][ZH] 有些是試字OK
[00:22:18][ZH] 但書寫不行
[00:22:19][ZH] 有些是數學量感
[00:22:21][ZH] 計算有一些困難的
[00:22:23][ZH] 這個大概要學校的特教系統
[00:22:25][ZH] 去協助做診斷這樣
[00:22:26][ZH] 我們醫療端大概就是
[00:22:27][ZH] 如果有公平ADHD
[00:22:28][ZH] 要治療ADHD這樣子
[00:22:30][ZH] 好
[00:22:31][ZH] 其實它們是蠻挫折的
[00:22:32][ZH] 然後會有一些輔助策略的這樣
[00:22:35][ZH] 學長大概不太能夠好
[00:22:37][ZH] 他就是用一些輔助策略
[00:22:38][ZH] 把他障礙的部分繞過去
[00:22:40][ZH] 他們其實神經重要性裡面
[00:22:43][ZH] 有40到50會有焦慮憂鬱的問題
[00:22:46][ZH] 他們常會用一些隱形的面貌
[00:22:49][ZH] 時間到了
[00:22:51][ZH] 他們不是不好
[00:22:57][ZH] 是有困難
[00:22:58][ZH] 需要被我們支援
[00:23:00][ZH] 接下來的課程就是
[00:23:01][ZH] 希望大家可以學到一些
[00:23:03][ZH] 大家外面的經驗
[00:23:04][ZH] 來協助支援我們的小孩
[00:23:06][ZH] 我是李玉如
[00:23:07][ZH] 謝謝大家來聆聽
[00:23:08][ZH] 好,謝謝林醫師
[00:23:15][ZH] 我們如果剛剛用測速照相機去拍林醫師的語速
[00:23:19][ZH] 應該紅單很多張
[00:23:21][ZH] 那個語速有超速這樣子
[00:23:24][ZH] 那因為他的內容非常的豐富
[00:23:27][ZH] 然後很希望大家可以有更多的認識
[00:23:29][ZH] 我們講神性多樣性的樣貌
[00:23:31][ZH] 那接下來我們就要講到一個很重要的講題
[00:23:36][ZH] 就是早上我們在講說
[00:23:37][ZH] 到底什麼是LIFE CODE
[00:23:38][ZH] 陪跑員
[00:23:40][ZH] 怎麼做一個陪跑員
[00:23:41][ZH] 或陪跑員應該要怎麼樣的一個技術
[00:23:43][ZH] 那接下來這個部分
[00:23:45][ZH] 我們就要邀請到我們國外的講者
[00:23:47][ZH] Berry Pell
[00:23:48][ZH] 然後我們會請我們的翻譯
[00:23:51][ZH] 在我們講者演講的過程中
[00:23:53][ZH] 會用中文
[00:23:54][ZH] 讓大家可以跟得上
[00:23:55][ZH] 講者簡報的這一個內容
[00:23:57][ZH] 那我們是不是歡迎我們的Berry
[00:23:59][ZH] 為我們進行下一段的演說
[00:24:07][ZH] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:24:37][ZH] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:25:07][ZH] 請你進來是講的 謝謝
[00:25:30][EN*]  Hello, it's an honour to be with you here in Taiwan.
[00:25:57][EN*]  Thank you for inviting me to speak with you.
[00:26:01][ZH] Now several years ago, a Native American friend of mine honored me with a spirit out.
[00:26:07][ZH] 幾年前我有一個美國的原住民朋友,就是印第安朋友,送我一個守護靈獸的模型。
[00:26:15][ZH] 傳統上印第安人送動物的守護靈獸是想要告訴你是代表哪一種特定特質的動物,然後他給我一隻獅子。
[00:26:47][EN*]  But after everything I've eaten since arriving in Taiwan, I think my spirit animal has changed.
[00:27:00][EN*]  I think now I'm the hippopotamus.
[00:27:04][EN*]  Apparently, courage and strength is still there, but the evidence is becoming pretty obvious.
[00:27:17][EN*]  Imagine a 19-year-old, he has a smartphone, a laptop, high-speed internet, artificial
[00:27:45][EN]  intelligence, access to almost all of the world's knowledge, and yet, he cannot wake
[00:27:53][EN]  himself up in the morning. He avoids difficult conversations, and he's never learned how
[00:27:59][EN]  to resolve conflict face-to-face. He struggles to regulate anxiety, he cannot manage his
[00:28:22][ZH] 他有智慧型手機 電腦 網路 人工智慧
[00:28:25][ZH] 他隨時可以獲得全世界他想要的知識
[00:28:28][ZH] 但是他早上沒有辦法自己起床
[00:28:31][ZH] 然後他會去逃避困難的對話
[00:28:33][ZH] 他沒有辦法去面對面解決衝突
[00:28:35][ZH] 沒有辦法調節焦慮 管理時間
[00:28:38][ZH] 然後面對日常生活的責任
[00:28:40][ZH] 他卻覺得沒有辦法去負荷
[00:28:42][ZH] 他渴望獨立
[00:28:43][ZH] 可是他沒有辦法建立這些獨立所必要的技能
[00:28:46][ZH] 那如果20年前我描述剛才這樣講的一位年輕人
[00:29:14][ZH] 你們可能會覺得他是不是有什麼問題啊,心理疾病
[00:29:17][ZH] 可是今天呢,他其實是代表著越來越多青年族群的普遍現況
[00:29:23][ZH] 而且這並不是隻有美國才有的問題
[00:29:25][ZH] 他現在演變成一個全球性的挑戰
[00:29:28][ZH] 那關鍵問題在於是什麼改變造成這樣的現象
[00:29:33][ZH]  Now, over the past 20 years, we have made tremendous advances in treating mental illness
[00:29:40][ZH] 但在那一段時間,其他事件又發生了。
[00:29:45][ZH] 很多年輕人停止了一些技巧, 其他年代學習得到的。
[00:29:51][ZH] 今天,我會介紹你一個方法, 更加更加更新的。
[00:29:57][ZH] 生活技術教育。
[00:29:59][ZH] 不因為它會代表療療療, 但因為它會充滿了一個發展階段,
[00:30:04][ZH] 醫療沒有設計成了科學的科學
[00:30:34][ZH] 然而這個並不是要取代心理治療,而是為了要去填補心理治療沒有辦法涵蓋的這個斷層。
[00:30:41][ZH] 現在,在千萬年,年輕人看起來非常相似。
[00:30:46][ZH] 年輕人學習的做法,他們遭遇了問題,他們變得慘了,他們跟朋友們合作,他們抱歉,他們失敗了,他們回復了,他們活著,他們投資了,他們互動了。
[00:31:01][ZH] 就是數千年來青少年的成長其實是很類似的
[00:31:06][ZH] 就是年輕人都是從做中學
[00:31:08][ZH] 解決問題啊、體會無聊啊、跟朋友爭吵的過程中
[00:31:12][ZH] 就學會道歉、學會自己找解決的方法
[00:31:16][ZH] 然後遭遇失敗也可以找到重新振作的方法
[00:31:19][ZH] 然後去做事情、去從做中學協商溝通等等
[00:31:24][ZH]  Little by little, these ordinary experiences build extraordinary abilities.
[00:31:38][EN]  responsibility. These skills were rarely taught formally. They developed naturally.
[00:31:45][EN]  Then something changed. Technology transformed childhood. Again, technology is not the enemy.
[00:31:55][EN]  I use technology every day, and so do you.
[00:31:58][EN]  The issue isn't technology.
[00:32:21][ZH] 但是呢 因為科技改變了童年
[00:32:24][ZH] 那我要強調科技本身並不是我們的敵人
[00:32:27][ZH] 我們每天都在使用科技
[00:32:29][ZH] 那我的個案也是 我自己也是
[00:32:30][EN*]  Now, instead of face-to-face conversations, many conflicts now happen through text messages.
[00:32:43][EN*]  Instead of learning patience, everything arrives instantly.
[00:32:48][EN*]  Instead of experiencing boredom, every spare moment is filled with stimulation.
[00:32:54][EN*]  Instead of solving problems independently, young people often turn to Google,
[00:33:00][EN]  AI, or their parents. Instead of practicing difficult conversations, many avoid them altogether.
[00:33:09][EN]  Each individual change seems small, but together they alter development.
[00:33:17][EN]  One sentence summarizes this entire problem. Young people today have more information than any generation in history.
[00:33:27][EN]  But information is not the same as formation. Knowing something is not the same as becoming something.
[00:33:31][ZH] 知識的東西並非同樣的東西
[00:33:45][ZH] 然後呢,我們科技也取代了學習耐心
[00:33:49][ZH] 因為一切都是可以即時送到你面前
[00:33:51][ZH] 那科技也取代了體會無聊
[00:33:54][ZH] 因為每個空檔都被感官刺激也塞滿了
[00:33:57][ZH] 那科技也取代了獨立解決問題的能力
[00:33:59][ZH] 因為大家現在都很習慣第一時間就去問AI
[00:34:02][ZH] 那科技也取代了練習困難對話
[00:34:05][ZH] 就是很多人現在乾脆就是逃避啊,或是冷處理
[00:34:08][ZH] 所以這些改變看似微不足道
[00:34:10][ZH] 但是零零鐘總加起來
[00:34:12][ZH] 卻深刻改變了孩子的整體發展
[00:34:14][ZH] 我有句話可以來形容這個困境,現在年輕人擁有史上最多的豐富資訊,資訊的英文是Formation,但它並不能取代Formation,就是隻差了兩個英文字母,但Formation是人格養成的這個過程,所以知道某些知識並不代表你就可以成為一個具備相應能力的人。
[00:34:31][EN*]  So, knowing certain knowledge does not mean that you can have an effective ability.
[00:34:37][EN*]  Now, this brings us to an important distinction.
[00:34:41][EN*]  People often ask me, isn't coaching just another form of therapy?
[00:34:46][EN*]  And the answer is no.
[00:34:48][EN*]  Although they compliment each other rather beautifully,
[00:34:51][EN*]  Therapy asks, what is interfering with healthy functioning?
[00:34:56][EN*]  Life skills coaching asks, what skills still need to be developed?
[00:35:01][EN*]  Therapists treat psychiatric symptoms.
[00:35:04][EN*]  Coaches develop adaptive functioning.
[00:35:07][EN*]  Therapists reduce dysfunction.
[00:35:10][EN*]  Coaches increase capability.
[00:35:13][EN*]  Therapists help people heal.
[00:35:16][EN*]  Coaches help people grow.
[00:35:18][EN*]  Neither is better, and both are essential.
[00:35:21][EN*]  So, everyone will ask me, is that a life-sister, a life-sister, is another form of a mental health? That answer is not true. It is not true. It can be a good relationship. A life-sister will ask me what to do with my health and health. But a life-sister will ask me what to do with my health and health. But a life-sister will ask me what to do with my health and health. I will ask you what to do with my health and health. I will ask you what to do with my health and health. I will ask you what to do with my health and health.
[00:35:37][ZH] 心理治療師會問說是什麼阻礙我的當事人發揮健康的日常功能
[00:35:43][ZH] 但是呢生活陪跑師問的是
[00:35:45][ZH] 我的當事人還需要培養還有發展哪些生活技能
[00:35:49][ZH] 那治療師會專注在治療精神還有一些神經的病理症狀
[00:35:54][ZH] 但是生活陪跑師是專注於建立適應生活的功能還有能力
[00:35:58][ZH] 治療師會著重在減少這個失能障礙dysfunction
[00:36:14][EN*]  Now, let me give you an example.
[00:36:17][EN*]  Imagine a 17-year-old suffers from severe panic attacks.
[00:36:22][EN*]  That teenager needs therapy, possibly medication.
[00:36:26][EN*]  Now, imagine another 17-year-old.
[00:36:28][EN*]  No diagnosis, no trauma, no depression.
[00:36:32][EN]  He simply has part-time management skills.
[00:36:35][EN]  He can't organize his assignments, and he avoids responsibility.
[00:36:40][EN]  Has never learned how to solve interpersonal conflict.
[00:36:44][EN]  Now therapy may not be the answer. Life skills coaching probably is. One young person needs healing, the other needs development. Sometimes the same person needs both, and this is why collaboration between therapists and life skills coaches is becoming increasingly more valuable.
[00:37:00][ZH] 和生活教育教導師,可以更加值得更加值得。
[00:37:30][ZH] 心理治療可能就不是他需要的,生活導師的輔導才是。
[00:37:35][ZH] 那所以剛才講的這兩位孩子,第一位是需要就是療癒,
[00:37:39][ZH] 第一位一位孩子則是需要發展。
[00:37:42][ZH] 那有的時候有一個孩子他可能兩者都需要,
[00:37:45][ZH] 那也是為什麼我們心理治療師還有生活陪跑師之間的這個跨領域合作就是變得越來越重要。
[00:37:53][ZH] 那我認為每個年輕人都需要八個主要的生活核心技能
[00:38:07][ZH] 那當我在輔導年輕人的時候呢
[00:38:21][ZH] 我都會強調這些技能,那不是要去標籤化他們的人格,而是專注在這些技能的發展,因為技能是可以被學習還有練習的,那以下就是這八大技能。
[00:38:34][EN*]  Emotional regulation, learning to experience emotions without being controlled by them.
[00:38:48][EN*]  Executive functioning, planning, organization, time management, following through.
[00:39:03][EN*]  Communication, listening, speaking honestly, having difficult conversations.
[00:39:18][EN*]  Conflict resolution, disagreeing respectfully, repairing relationships, negotiating solutions.
[00:39:33][EN*]  Resilience, recover from setbacks, persisting through difficulty, learning that failure is information not identity.
[00:39:57][EN*]  healthy relationships, boundaries, empathy, trust, respect, purpose and goal setting, living intentionally, making decisions based on values instead of emotions.
[00:40:27][EN*]  Personal responsibility. Taking ownership. Keeping commitments. Learning that freedom always comes with responsibility.
[00:40:40][EN*]  Notice something. None of these are psychiatric treatments. They're life competencies. Yet they drastically and dramatically improve mental health.
[00:40:57][EN*]  and you can understand the rights of the human being and the human being.
[00:41:10][ZH] 可以從根本上改善心理健康
[00:41:31][?EN]  I need to be more organized.
[00:41:33][?EN]  I need to stop procrastinating.
[00:41:36][?EN]  I need to make better decisions.
[00:41:38][?EN]  And yet, they continue to struggle.
[00:41:40][?ZH]  continue to struggle. This can be incredibly frustrating for parents. They may say, he knows
[00:41:42][?EN]  This can be incredibly frustrating for parents.
[00:41:45][?EN]  They may say, he knows exactly what he's supposed to do.
[00:41:46][?ZH]  exactly what he's supposed to do. Why doesn't he just do it? That's a very important question.
[00:41:48][?EN]  Why does he just do it?
[00:41:51][?EN]  That's a very important question.
[00:41:53][?EN]  The answer is that knowing is a cognitive skill. Doing is a performance skill. There is a significant distance between the two.
[00:41:53][?ZH]  The answer is that knowing is a cognitive skill. Doing is a performance skill.
[00:42:02][ZH]  There is a significant distance between the two.
[00:42:10][ZH] 就是知道還有做到,其實之間是存在一個巨大的鴻溝
[00:42:14][ZH] 就是年輕人心裡可能會知道說,我要控制我的脾氣啊
[00:42:17][ZH] 我要做事更有條理啊,不要拖拖拉拉,我希望做出更好的決定
[00:42:21][ZH] 可是他們還是會就是很掙扎,那讓他們的忠譽很掙扎
[00:42:26][ZH] 那爸媽媽常會想說,他明明都懂,為什麼就做不到
[00:42:31][EN*]  The answer is,
[00:42:33][EN*]  knowing is a cognitive skill.
[00:42:35][EN*]  Knowing is a way to do it.
[00:42:37][EN*]  And being able to do it is a way to do it.
[00:42:41][EN*]  It is a big difference.
[00:42:43][EN*]  Now, a young person may understand that exercise is good for them,
[00:42:47][EN*]  and still not exercise.
[00:42:49][EN*]  They may understand that sleep matters,
[00:42:51][EN*]  And still, they stay up all night.
[00:42:55][EN*]  They may know that yelling at their parents is not helpful.
[00:42:57][EN*]  And still yet, that's all they do.
[00:43:00][EN*]  The problem isn't always a lack of knowledge.
[00:43:04][EN*]  Sometimes the problem is that the skill has not yet become automatic.
[00:43:09][EN*]  That is where life skills coaching becomes so important.
[00:43:21][EN*]  skills must be practiced under stress. Now a student may demonstrate excellent emotional regulation in coaching or therapy. They can explain, when I'm angry, I should pause, I should do it.
[00:43:51][EN*]  take a breath and communicate my feelings. Well, that's wonderful. Now let's see what
[00:43:56][EN*]  happens when their phone is taken away. Their parents say no. A peer insults them. They
[00:44:05][EN]  receive a bad grade. They're told to go to bed. They lose a privilege. This is the real
[00:44:12][EN]  test. We don't want to know whether a student can describe emotional regulation. We want
[00:44:17][EN]  know whether they can use emotional regulation when emotionally dysregulated. That is a very
[00:44:24][EN]  different thing. This is why real-world practice is so important. The therapy room teaches the skill,
[00:44:31][ZH] 生命侶控制採討。
[00:44:34][ZH] 那一個年輕人的話,他可能可以很自信的告訴你說
[00:44:42][ZH] 當我生氣的時候,我應該要暫停下深呼吸,然後好好說出我的感受
[00:44:47][ZH] 理想上是這樣子,但是當真實生活的情境的時候
[00:44:51][ZH] 當這個人的手機被沒收,當有人告訴他不行
[00:44:54][ZH] 當他考試不及格,被要求立刻去上桶睡覺
[00:44:58][ZH] 或是失去某項特權的時候,這才是真正考驗的來臨
[00:45:01][ZH] 我們不是單純要求年輕人用言語敘述來調節情緒要怎麼做,而是要知道他可不可以在情緒失控的當下,他可以實際運用這些調節技巧,這是兩件不同的事情,所以治療是傳授技能,然後真實生活才是真正的考驗的場所。
[00:45:24][ZH] So quick question, imagine a 16 year old student understands that he needs to improve his organisation.
[00:45:31][EN]  He's been taught to use a calendar, maybe even a daily planner.
[00:45:34][EN]  He agrees that organization is important.
[00:45:37][EN]  However, he regularly forgets assignments, loses the materials, and misses deadlines.
[00:45:43][EN]  Is this primarily a mental health problem or a life skills problem, or both?
[00:45:48][EN]  And the answer is probably both.
[00:45:50][EN]  Maybe the student has ADHD, maybe he's anxious, maybe he's depressed.
[00:45:54][EN]  Maybe he has poor executive functioning.
[00:45:57][EN]  But the solution still requires him to develop a practical system for managing his life.
[00:46:03][EN*]  Diagnosis may explain the problem, but skills create a solution.
[00:46:27][EN*]  It's a two-step process. This student may have ADHD, or a mental illness, or a simple practice.
[00:46:37][EN*]  The solution is to help him to create a system of care and care.
[00:46:44][EN*]  So, the treatment can be solved by the problem, but the ability can be created by the real solution.
[00:46:51][EN*]  One of the most important questions in treatment and coaching is,
[00:46:54][EN*]  can the young person transfer the skill?
[00:46:58][EN*]  Now, a student may be able to regulate therapy,
[00:47:02][EN]  organize with a coach,
[00:47:04][EN]  even communicate respectfully with a therapist,
[00:47:06][EN]  maybe complete assignments with constant supervision.
[00:47:09][EN]  But what happens when support is removed?
[00:47:13][EN]  We should gradually ask, can he do it with help?
[00:47:17][EN]  Then, can he do it with a reminder?
[00:47:20][EN]  Then, can he do it independently?
[00:47:24][EN]  And finally, can he do it when life becomes difficult?
[00:47:28][EN]  That is the progression from treatment to independence.
[00:47:49][ZH] 他可以整理規劃
[00:47:50][ZH] 他跟心理師的時候
[00:47:51][ZH] 溝通的時候他是很有禮貌的
[00:47:53][ZH] 然後他也可以在全程監督下完成作業
[00:47:56][ZH] 可是當我們把這些外在支援都拿掉的時候
[00:47:59][ZH] 會發生什麼事
[00:48:00][ZH] 所以我們應該要循序漸定的去檢視說
[00:48:02][ZH] 第一步他在有人協助的狀況下可不可以做到
[00:48:06][ZH] 那沒人協助但是有人提醒的話
[00:48:09][ZH] 他可不可以做到
[00:48:10][ZH] 那接下來下一步
[00:48:11][ZH] 沒人提醒他可以獨立做到嗎
[00:48:13][ZH] 然後最後一步就是
[00:48:15][ZH] 當他面臨壓力還有掙扎的時候
[00:48:17][ZH] 他可以做到嗎
[00:48:19][ZH] 這就是讓孩子從依賴治療 邁向獨立不足的過程
[00:48:49][EN]  person 6 months after discharge. Now that question changes the way we approach everything. It changes how we teach organization, how we teach emotional regulation, communication, and how we teach responsibility.
[00:49:10][ZH] 我們的目標不是說他在這邊可以表現得很好而已
[00:49:15][ZH] 而是他可不可以將在這邊學到的能力帶回他的家庭、學校、職場還有人際關係中繼續運用
[00:49:22][ZH] 所以我們必須要不斷地自問說
[00:49:25][ZH] 我們今天做的事情在結案或是孩子離開機構六個月後
[00:49:29][ZH] 是否還可以實質幫助到這個孩子
[00:49:32][ZH] 那這個問題會改變我們教學還有介入的所有方式
[00:49:38][ZH] 我們不只是想讓學生成功成功,我們不只是要讓孩子在我們的機構環境中表現成功,而是讓我們這個環境對他們來說越來越不需要,所以聽起來有點矛盾,這其實就是我們實際的期許,就是我們工作做得越好,
[00:50:07][ZH] 那年輕人對我們的依賴越少 這樣實在是最好的
[00:50:22][ZH] 那我將技能發展規劃成五個階段
[00:50:25][ZH] 第一個是理解 那年輕人應該要學習還有理解這項技能到底是什麼
[00:50:40][EN*]  Practice, the young person tries the skill in a supported environment.
[00:50:54][EN*]  Then practice, the young person tries the skill in a supported environment.
[00:51:02][ZH] 第三個階段是他會去遇到挫折
[00:51:12][ZH] 他可能會遭遇失敗
[00:51:13][ZH] 然後會感到很不知所措
[00:51:15][ZH] 接下來他會去檢討發生了什麼挫折
[00:51:23][ZH] 怎麼去修復 然後從中學習要再次嘗試
[00:51:27][ZH] 然後再重複重複內化這些過程
[00:51:35][ZH] 直到他可以學習到這些技能
[00:51:38][ZH] 最終達到努力自尊的階段
[00:51:40][ZH] 所以就是不斷的理解 練習 掙扎 修復
[00:51:53][ZH] 重複內化
[00:51:53][ZH] 這就是帶來真實改變的完整理想
[00:52:04][EN]  But sometimes failure is the most important part of development.
[00:52:08][EN]  A student forgets an assignment. A conflict happens. A student loses the privilege. A family conversation goes poorly. The question is not, how do we make sure this never happens again? The better question is, what can the student person learn from what just happened? We don't want to remove every consequence from a person's life. We want to help them learn how to respond to consequences.
[00:52:53][ZH] 然後家庭對話陷入僵局
[00:52:55][ZH] 那關鍵問題其實並不是我們要讓這件事不會再發生
[00:53:00][ZH] 其實更好的問題是這個年輕人可以從這些經驗裡面學到什麼
[00:53:04][ZH] 所以我們不應該替孩子掃除人生中所有的後果
[00:53:08][ZH] 而是要陪伴他如何學會還有面對承擔這些後果
[00:53:12][ZH] 因為生日後療療程會仍然避免失敗
[00:53:15][ZH] 失敗、失敗、失敗、失敗、不期待的改變
[00:53:20][ZH] 因為真實人生其實是充滿衝突,失敗還有挫折,甚至是突如其來的變故,所以我們的目標不是為孩子創造一個無風無雨的人生,而是要培養出一個可以應對逆境的人。
[00:53:41][ZH] 那任何發生重大的事件或衝突的時候,我們可以引導詢問這四個關鍵的問題,第一個是發生了什麼事,然後請他釐清客觀的事實。
[00:54:03][EN*]  第二問題是問她說你當時的感受是什麼,讓她去覺察情緒。
